dataset,week,model,protocol,reference_protocol,metric,delta,ci_low,ci_high,n_clusters
oulab,4,base_lr_profile,cutoff_valid_to_activity,cutoff_valid,brier,0.008107057636049297,0.006168415733784198,0.01006021892688219,22
oulab,4,base_lr_profile,cutoff_valid_to_activity,cutoff_valid,ece,0.03264182462296928,-0.016786825259093537,0.04489473912798088,22
oulab,4,base_lr_profile,static_full,cutoff_valid,auc,0.06035646453786425,0.049461258120131316,0.07221026665972918,22
oulab,4,base_lr_profile,static_full,cutoff_valid,pr_auc_risk,0.15711702876857914,0.1349794323347376,0.18058431242070422,22
oulab,4,base_lr_profile,static_full,cutoff_valid,brier,-0.016817251866748484,-0.020671149547830312,-0.012383811690737804,22
oulab,4,base_lr_profile,static_full,cutoff_valid,ece,-0.0025995892485506803,-0.007742200670845272,0.005634607390053359,22
oulab,4,base_rf_gini,activity_conditioned,cutoff_valid,auc,0.02162535510095731,0.014998154372051282,0.02714912300572143,22
oulab,4,base_rf_gini,activity_conditioned,cutoff_valid,pr_auc_risk,0.05117111059780177,0.03675166763239554,0.06451663147373272,22
oulab,4,base_rf_gini,activity_conditioned,cutoff_valid,brier,-0.008441891021779363,-0.010885174293039696,-0.005648428126720781,22
oulab,4,base_rf_gini,activity_conditioned,cutoff_valid,ece,-0.007495899968499413,-0.01311780361302694,-0.0006112463359497942,22
oulab,4,base_rf_gini,activity_to_cutoff_valid,cutoff_valid,auc,-0.00018136144207270277,-0.0014218017358061275,0.0008746042668559515,22
oulab,4,base_rf_gini,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,-1.4072672676834763e-05,-0.0032472691087472695,0.002447432295960175,22
oulab,4,base_rf_gini,activity_to_cutoff_valid,cutoff_valid,brier,-0.0006144897938362981,-0.001138339467521423,3.5015715184728066e-05,22
oulab,4,base_rf_gini,activity_to_cutoff_valid,cutoff_valid,ece,-0.007445937905769834,-0.00911128955813746,-0.003312120729008239,22
oulab,4,base_rf_gini,cutoff_valid_to_activity,cutoff_valid,auc,0.020633922691480233,0.014318659914035008,0.02608599411164763,22
oulab,4,base_rf_gini,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,0.048369633981643845,0.03420226245233493,0.06235486317613503,22
oulab,4,base_rf_gini,cutoff_valid_to_activity,cutoff_valid,brier,-0.006857351885863144,-0.009067372179558168,-0.00449960306582933,22
oulab,4,base_rf_gini,cutoff_valid_to_activity,cutoff_valid,ece,0.002690533821000353,-0.005839891381565539,0.008636901639520474,22
oulab,4,base_rf_gini,static_full,cutoff_valid,auc,0.06015978563807112,0.052041940092600006,0.06921915693691405,22
oulab,4,base_rf_gini,static_full,cutoff_valid,pr_auc_risk,0.1210569653843484,0.10299620679539652,0.14346350337363986,22
oulab,4,base_rf_gini,static_full,cutoff_valid,brier,-0.02636411437860059,-0.02990160988417897,-0.022327219279799564,22
oulab,4,base_rf_gini,static_full,cutoff_valid,ece,-0.01573617422881256,-0.033709519243978324,0.0024370847382483847,22
oulab,4,stack_7_full,activity_conditioned,cutoff_valid,auc,0.02034319148744046,0.014411791510881997,0.025542801735207513,22
oulab,4,stack_7_full,activity_conditioned,cutoff_valid,pr_auc_risk,0.04687357858297836,0.03415825252343465,0.05935485361891938,22
oulab,4,stack_7_full,activity_conditioned,cutoff_valid,brier,-0.007855667641015557,-0.010599380277293787,-0.0047831137192608725,22
oulab,4,stack_7_full,activity_conditioned,cutoff_valid,ece,-0.0010943632102854723,-0.004343416967204304,0.001986573079638062,22
oulab,4,stack_7_full,activity_to_cutoff_valid,cutoff_valid,auc,-0.0003704897861922518,-0.001064518289168695,0.0002991770366202764,22
oulab,4,stack_7_full,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,-0.00010975076626329461,-0.0014262826543435692,0.0011786414508302707,22
oulab,4,stack_7_full,activity_to_cutoff_valid,cutoff_valid,brier,0.00011234027382237,-0.00023634542231862135,0.0005173242858747347,22
oulab,4,stack_7_full,activity_to_cutoff_valid,cutoff_valid,ece,-0.001444259301876508,-0.007320862783506885,0.004466507094976706,22
oulab,4,stack_7_full,cutoff_valid_to_activity,cutoff_valid,auc,0.019940799797794506,0.01388192574491511,0.025013095071656707,22
oulab,4,stack_7_full,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,0.04559427648464509,0.032921379757466854,0.057648363374608075,22
oulab,4,stack_7_full,cutoff_valid_to_activity,cutoff_valid,brier,-0.007240859604219829,-0.00986299281026313,-0.004330339472769387,22
oulab,4,stack_7_full,cutoff_valid_to_activity,cutoff_valid,ece,0.0069705437421693755,-0.000856818885076723,0.009935059455256847,22
oulab,4,stack_7_full,static_full,cutoff_valid,auc,0.05551986825076105,0.04810892769927827,0.06378567717338171,22
oulab,4,stack_7_full,static_full,cutoff_valid,pr_auc_risk,0.10876267652764438,0.09156010092073862,0.1306668973068999,22
oulab,4,stack_7_full,static_full,cutoff_valid,brier,-0.024678676968953928,-0.027651371184519494,-0.020838114268535397,22
oulab,4,stack_7_full,static_full,cutoff_valid,ece,-0.003250001275098162,-0.0054977873129927095,-0.00017754486183358566,22
oulab,4,temporal_hgb,activity_conditioned,cutoff_valid,auc,0.019367867319914578,0.010459379829274116,0.02570904186563022,22
oulab,4,temporal_hgb,activity_conditioned,cutoff_valid,pr_auc_risk,0.050888429583803685,0.029152650244371296,0.06826725973606235,22
oulab,4,temporal_hgb,activity_conditioned,cutoff_valid,brier,-0.005463147650539707,-0.008911539438245594,-0.0007958832048488771,22
oulab,4,temporal_hgb,activity_conditioned,cutoff_valid,ece,-0.00291270861788423,-0.0038984193540735784,0.006325434463522335,22
oulab,4,temporal_hgb,activity_to_cutoff_valid,cutoff_valid,auc,-0.0018239087754033934,-0.005391775743065469,0.0015847591715234387,22
oulab,4,temporal_hgb,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,-0.006470999580023062,-0.015992203682329377,0.006219719559552748,22
