dataset,week,protocol,reference_protocol,metric,spearman_rank_correlation,best_reference,best_protocol,ranking_reversal
oulab,12,activity_conditioned,cutoff_valid,ece,0.7999999999999999,base_lr_profile,stack_7_full,True
oulab,12,activity_to_cutoff_valid,cutoff_valid,auc,1.0,stack_7_full,stack_7_full,False
oulab,12,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,1.0,stack_7_full,stack_7_full,False
oulab,12,activity_to_cutoff_valid,cutoff_valid,brier,1.0,stack_7_full,stack_7_full,False
oulab,12,activity_to_cutoff_valid,cutoff_valid,ece,-0.19999999999999998,base_lr_profile,stack_7_full,True
oulab,12,cutoff_valid_to_activity,cutoff_valid,auc,1.0,stack_7_full,stack_7_full,False
oulab,12,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,1.0,stack_7_full,stack_7_full,False
oulab,12,cutoff_valid_to_activity,cutoff_valid,brier,1.0,stack_7_full,stack_7_full,False
oulab,12,cutoff_valid_to_activity,cutoff_valid,ece,-0.19999999999999998,base_lr_profile,stack_7_full,True
oulab,12,static_full,cutoff_valid,auc,1.0,stack_7_full,stack_7_full,False
oulab,12,static_full,cutoff_valid,pr_auc_risk,1.0,stack_7_full,stack_7_full,False
oulab,12,static_full,cutoff_valid,brier,1.0,stack_7_full,stack_7_full,False
oulab,12,static_full,cutoff_valid,ece,1.0,base_lr_profile,base_lr_profile,False
oulab,14,activity_conditioned,cutoff_valid,auc,1.0,stack_7_full,stack_7_full,False
oulab,14,activity_conditioned,cutoff_valid,pr_auc_risk,1.0,stack_7_full,stack_7_full,False
oulab,14,activity_conditioned,cutoff_valid,brier,1.0,stack_7_full,stack_7_full,False
oulab,14,activity_conditioned,cutoff_valid,ece,1.0,base_lr_profile,base_lr_profile,False
oulab,14,activity_to_cutoff_valid,cutoff_valid,auc,1.0,stack_7_full,stack_7_full,False
oulab,14,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,1.0,stack_7_full,stack_7_full,False
oulab,14,activity_to_cutoff_valid,cutoff_valid,brier,1.0,stack_7_full,stack_7_full,False
oulab,14,activity_to_cutoff_valid,cutoff_valid,ece,-0.19999999999999998,base_lr_profile,stack_7_full,True
oulab,14,cutoff_valid_to_activity,cutoff_valid,auc,1.0,stack_7_full,stack_7_full,False
oulab,14,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,1.0,stack_7_full,stack_7_full,False
oulab,14,cutoff_valid_to_activity,cutoff_valid,brier,1.0,stack_7_full,stack_7_full,False
oulab,14,cutoff_valid_to_activity,cutoff_valid,ece,-0.19999999999999998,base_lr_profile,stack_7_full,True
oulab,14,static_full,cutoff_valid,auc,1.0,stack_7_full,stack_7_full,False
oulab,14,static_full,cutoff_valid,pr_auc_risk,1.0,stack_7_full,stack_7_full,False
oulab,14,static_full,cutoff_valid,brier,1.0,stack_7_full,stack_7_full,False
oulab,14,static_full,cutoff_valid,ece,1.0,base_lr_profile,base_lr_profile,False
oulab,16,activity_conditioned,cutoff_valid,auc,1.0,stack_7_full,stack_7_full,False
oulab,16,activity_conditioned,cutoff_valid,pr_auc_risk,1.0,stack_7_full,stack_7_full,False
oulab,16,activity_conditioned,cutoff_valid,brier,1.0,stack_7_full,stack_7_full,False
oulab,16,activity_conditioned,cutoff_valid,ece,1.0,base_lr_profile,base_lr_profile,False
oulab,16,activity_to_cutoff_valid,cutoff_valid,auc,1.0,stack_7_full,stack_7_full,False
oulab,16,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,1.0,stack_7_full,stack_7_full,False
oulab,16,activity_to_cutoff_valid,cutoff_valid,brier,1.0,stack_7_full,stack_7_full,False
oulab,16,activity_to_cutoff_valid,cutoff_valid,ece,-0.19999999999999998,base_lr_profile,stack_7_full,True
oulab,16,cutoff_valid_to_activity,cutoff_valid,auc,1.0,stack_7_full,stack_7_full,False
oulab,16,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,1.0,stack_7_full,stack_7_full,False
oulab,16,cutoff_valid_to_activity,cutoff_valid,brier,1.0,stack_7_full,stack_7_full,False
oulab,16,cutoff_valid_to_activity,cutoff_valid,ece,-0.19999999999999998,base_lr_profile,stack_7_full,True
oulab,16,static_full,cutoff_valid,auc,1.0,stack_7_full,stack_7_full,False
oulab,16,static_full,cutoff_valid,pr_auc_risk,1.0,stack_7_full,stack_7_full,False
oulab,16,static_full,cutoff_valid,brier,1.0,stack_7_full,stack_7_full,False
oulab,16,static_full,cutoff_valid,ece,1.0,base_lr_profile,base_lr_profile,False
