dataset,week,protocol,model,n,n_clusters,cluster_unit,auc_mean,auc_ci_low,auc_ci_high,pr_auc_risk_mean,pr_auc_risk_ci_low,pr_auc_risk_ci_high,brier_mean,brier_ci_low,brier_ci_high,ece_mean,ece_ci_low,ece_ci_high
oulab,2,cutoff_valid,temporal_hgb,28069,22,presentation,0.6728716739228395,0.6504604125716968,0.6963952998122587,0.6187400234852624,0.5721694751002998,0.6683366607983622,0.22518646252089816,0.2196459472658381,0.23099974838487808,0.005157683224635092,0.005749123835989104,0.047613785188346275
oulab,2,cutoff_valid_to_activity,base_lr_profile,28070,22,presentation,0.6359952698176393,0.6240807529389424,0.6476282467602711,0.5977609562824618,0.5725192737871768,0.619839719638814,0.23567435804969716,0.2300700759564921,0.241765199422612,0.030617177439788153,0.010725136528559144,0.06452083444321521
oulab,2,cutoff_valid_to_activity,base_rf_gini,28070,22,presentation,0.7330919773700263,0.7206081026055219,0.7440991077037109,0.7054657663640023,0.6704175240717123,0.7330304196544456,0.20893537439216742,0.2052948348365996,0.2123064275505984,0.027084397844002628,0.02362034191534704,0.04191321837683451
oulab,2,cutoff_valid_to_activity,stack_7_full,28070,22,presentation,0.7418968042281829,0.7295226784834831,0.7522635442406586,0.7174814902869006,0.6853289722238396,0.7414884358783949,0.20554432817900106,0.20155888005415096,0.20899551897613688,0.02361381279138331,0.015130197114155456,0.03965521910218661
oulab,2,cutoff_valid_to_activity,temporal_hgb,28070,22,presentation,0.6765505438730044,0.6501098251196382,0.7014206903258892,0.6327641390160262,0.5787058163114606,0.680615245638593,0.22636641902611226,0.22129707851941788,0.23118347043155293,0.02418198312429228,0.010034354052764875,0.0595049651384255
oulab,2,static_full,base_lr_profile,32593,22,presentation,0.7091409404095441,0.6943432983604383,0.7257124680977441,0.7585286488469336,0.7342012403615272,0.7754253387929047,0.21272802498330928,0.20784745152169384,0.2175397800402093,0.008789442483942861,0.008420158035392878,0.035466698869379296
oulab,2,static_full,base_rf_gini,32593,22,presentation,0.783648289139122,0.7699067113185862,0.7947348951269876,0.817643940018872,0.7929508174473235,0.8352165557162146,0.1887986866353673,0.184053836952291,0.19438739693183696,0.019322364861279525,0.01262426013959165,0.036403989584360925
oulab,2,static_full,stack_7_full,32593,22,presentation,0.7907203148024506,0.7768924497450135,0.8013771954135903,0.8254292899147531,0.8013133524390414,0.8422356704234331,0.18522151508257262,0.18055218601325976,0.1908847774664194,0.011245193908865189,0.00910597788802182,0.021428484048986375
oulab,2,static_full,temporal_hgb,32593,22,presentation,0.7377986080043489,0.7126067148475381,0.7598193091939841,0.7639037328166554,0.7207527780592384,0.7987178914834031,0.20508703760210575,0.19771856992212336,0.21509752394026244,0.0040114045954874325,0.0059647052436493705,0.04549706062542637
oulab,4,activity_conditioned,base_lr_profile,28956,22,presentation,0.6382832090535316,0.6259051770616261,0.6503288311147,0.6055784242344553,0.5807435889874001,0.6273333765332139,0.2346856622055356,0.23092708632189365,0.23871003281955283,0.005691169761991035,0.005207589833773755,0.03638684816061027
