comparison_type,dataset,week_from,week_to,model,budget,protocol,reference_protocol,jaccard,intersection,union
time,oulab,6,8,stack_7_full,0.05,cutoff_valid_to_activity,cutoff_valid_to_activity,0.5092957746478873,904,1775
time,oulab,8,10,stack_7_full,0.05,cutoff_valid_to_activity,cutoff_valid_to_activity,0.5428403755868545,925,1704
time,oulab,10,12,stack_7_full,0.05,cutoff_valid_to_activity,cutoff_valid_to_activity,0.6211646837820914,992,1597
time,oulab,12,14,stack_7_full,0.05,cutoff_valid_to_activity,cutoff_valid_to_activity,0.5124260355029586,866,1690
time,oulab,14,16,stack_7_full,0.05,cutoff_valid_to_activity,cutoff_valid_to_activity,0.45465049104563837,787,1731
time,oulab,2,4,stack_7_full,0.1,cutoff_valid_to_activity,cutoff_valid_to_activity,0.3047864852182074,1299,4262
time,oulab,4,6,stack_7_full,0.1,cutoff_valid_to_activity,cutoff_valid_to_activity,0.6805298829328404,2209,3246
time,oulab,6,8,stack_7_full,0.1,cutoff_valid_to_activity,cutoff_valid_to_activity,0.6943037974683545,2194,3160
time,oulab,8,10,stack_7_full,0.1,cutoff_valid_to_activity,cutoff_valid_to_activity,0.7125651041666666,2189,3072
time,oulab,10,12,stack_7_full,0.1,cutoff_valid_to_activity,cutoff_valid_to_activity,0.7532994923857868,2226,2955
time,oulab,12,14,stack_7_full,0.1,cutoff_valid_to_activity,cutoff_valid_to_activity,0.6925115970841617,2090,3018
time,oulab,14,16,stack_7_full,0.1,cutoff_valid_to_activity,cutoff_valid_to_activity,0.6365115522290921,1956,3073
time,oulab,2,4,stack_7_full,0.2,cutoff_valid_to_activity,cutoff_valid_to_activity,0.39716044729237343,3161,7959
time,oulab,4,6,stack_7_full,0.2,cutoff_valid_to_activity,cutoff_valid_to_activity,0.6929402637703647,4466,6445
time,oulab,6,8,stack_7_full,0.2,cutoff_valid_to_activity,cutoff_valid_to_activity,0.6557377049180327,4240,6466
time,oulab,8,10,stack_7_full,0.2,cutoff_valid_to_activity,cutoff_valid_to_activity,0.7801658487053647,4610,5909
time,oulab,10,12,stack_7_full,0.2,cutoff_valid_to_activity,cutoff_valid_to_activity,0.8900237096480029,4880,5483
time,oulab,12,14,stack_7_full,0.2,cutoff_valid_to_activity,cutoff_valid_to_activity,0.8482272069464544,4689,5528
time,oulab,14,16,stack_7_full,0.2,cutoff_valid_to_activity,cutoff_valid_to_activity,0.8372305443916697,4583,5474
time,oulab,2,4,temporal_hgb,0.01,cutoff_valid_to_activity,cutoff_valid_to_activity,0.09900990099009901,50,505
time,oulab,4,6,temporal_hgb,0.01,cutoff_valid_to_activity,cutoff_valid_to_activity,0.11958762886597939,58,485
time,oulab,6,8,temporal_hgb,0.01,cutoff_valid_to_activity,cutoff_valid_to_activity,0.11203319502074689,54,482
time,oulab,8,10,temporal_hgb,0.01,cutoff_valid_to_activity,cutoff_valid_to_activity,0.14814814814814814,68,459
time,oulab,10,12,temporal_hgb,0.01,cutoff_valid_to_activity,cutoff_valid_to_activity,0.4550561797752809,162,356
time,oulab,12,14,temporal_hgb,0.01,cutoff_valid_to_activity,cutoff_valid_to_activity,0.29873417721518986,118,395
time,oulab,14,16,temporal_hgb,0.01,cutoff_valid_to_activity,cutoff_valid_to_activity,0.43342776203966005,153,353
time,oulab,2,4,temporal_hgb,0.05,cutoff_valid_to_activity,cutoff_valid_to_activity,0.1806204844878878,425,2353
time,oulab,4,6,temporal_hgb,0.05,cutoff_valid_to_activity,cutoff_valid_to_activity,0.36710130391173523,732,1994
time,oulab,6,8,temporal_hgb,0.05,cutoff_valid_to_activity,cutoff_valid_to_activity,0.24720670391061453,531,2148
time,oulab,8,10,temporal_hgb,0.05,cutoff_valid_to_activity,cutoff_valid_to_activity,0.25071360608943866,527,2102
time,oulab,10,12,temporal_hgb,0.05,cutoff_valid_to_activity,cutoff_valid_to_activity,0.6100746268656716,981,1608
time,oulab,12,14,temporal_hgb,0.05,cutoff_valid_to_activity,cutoff_valid_to_activity,0.4481586402266289,791,1765
time,oulab,14,16,temporal_hgb,0.05,cutoff_valid_to_activity,cutoff_valid_to_activity,0.5997458703939009,944,1574
time,oulab,2,4,temporal_hgb,0.1,cutoff_valid_to_activity,cutoff_valid_to_activity,0.2519135524538496,1119,4442
time,oulab,4,6,temporal_hgb,0.1,cutoff_valid_to_activity,cutoff_valid_to_activity,0.4879978177850518,1789,3666
time,oulab,6,8,temporal_hgb,0.1,cutoff_valid_to_activity,cutoff_valid_to_activity,0.3547570850202429,1402,3952
time,oulab,8,10,temporal_hgb,0.1,cutoff_valid_to_activity,cutoff_valid_to_activity,0.3668485320862562,1412,3849
time,oulab,10,12,temporal_hgb,0.1,cutoff_valid_to_activity,cutoff_valid_to_activity,0.7791895604395604,2269,2912
time,oulab,12,14,temporal_hgb,0.1,cutoff_valid_to_activity,cutoff_valid_to_activity,0.5293413173652695,1768,3340
time,oulab,14,16,temporal_hgb,0.1,cutoff_valid_to_activity,cutoff_valid_to_activity,0.6875838926174497,2049,2980
time,oulab,2,4,temporal_hgb,0.2,cutoff_valid_to_activity,cutoff_valid_to_activity,0.354610793032038,2911,8209
time,oulab,4,6,temporal_hgb,0.2,cutoff_valid_to_activity,cutoff_valid_to_activity,0.5531672597864769,3886,7025
time,oulab,6,8,temporal_hgb,0.2,cutoff_valid_to_activity,cutoff_valid_to_activity,0.49504259181678534,3545,7161
time,oulab,8,10,temporal_hgb,0.2,cutoff_valid_to_activity,cutoff_valid_to_activity,0.5163615395704195,3582,6937
time,oulab,10,12,temporal_hgb,0.2,cutoff_valid_to_activity,cutoff_valid_to_activity,0.8855531295487628,4867,5496
time,oulab,12,14,temporal_hgb,0.2,cutoff_valid_to_activity,cutoff_valid_to_activity,0.7302286198137172,4312,5905
time,oulab,14,16,temporal_hgb,0.2,cutoff_valid_to_activity,cutoff_valid_to_activity,0.8229110023563531,4540,5517
time,oulab,2,4,base_lr_profile,0.01,static_full,static_full,0.7076923076923077,230,325
time,oulab,4,6,base_lr_profile,0.01,static_full,static_full,0.9052631578947369,258,285
time,oulab,6,8,base_lr_profile,0.01,static_full,static_full,0.921146953405018,257,279
time,oulab,8,10,base_lr_profile,0.01,static_full,static_full,0.7925170068027211,233,294
time,oulab,10,12,base_lr_profile,0.01,static_full,static_full,0.9044117647058824,246,272
time,oulab,12,14,base_lr_profile,0.01,static_full,static_full,0.8,228,285
time,oulab,14,16,base_lr_profile,0.01,static_full,static_full,0.9461538461538461,246,260
time,oulab,2,4,base_lr_profile,0.05,static_full,static_full,0.7330006238303182,1175,1603
time,oulab,4,6,base_lr_profile,0.05,static_full,static_full,0.9237826393789696,1309,1417
time,oulab,6,8,base_lr_profile,0.05,static_full,static_full,0.9315068493150684,1292,1387
time,oulab,8,10,base_lr_profile,0.05,static_full,static_full,0.8256944444444444,1189,1440
time,oulab,10,12,base_lr_profile,0.05,static_full,static_full,0.9407796101949025,1255,1334
time,oulab,12,14,base_lr_profile,0.05,static_full,static_full,0.8849557522123894,1200,1356
time,oulab,14,16,base_lr_profile,0.05,static_full,static_full,0.981117230527144,1247,1271
time,oulab,2,4,base_lr_profile,0.1,static_full,static_full,0.7190108191653787,2326,3235
time,oulab,4,6,base_lr_profile,0.1,static_full,static_full,0.9296073576229218,2628,2827
time,oulab,6,8,base_lr_profile,0.1,static_full,static_full,0.9462013813158852,2603,2751
time,oulab,8,10,base_lr_profile,0.1,static_full,static_full,0.9123954925481643,2510,2751
time,oulab,10,12,base_lr_profile,0.1,static_full,static_full,0.9737142857142858,2556,2625
time,oulab,12,14,base_lr_profile,0.1,static_full,static_full,0.9585889570552147,2500,2608
time,oulab,14,16,base_lr_profile,0.1,static_full,static_full,0.9814814814814815,2491,2538
time,oulab,2,4,base_lr_profile,0.2,static_full,static_full,0.782051282051282,4880,6240
time,oulab,4,6,base_lr_profile,0.2,static_full,static_full,0.9532760472610097,5325,5586
time,oulab,6,8,base_lr_profile,0.2,static_full,static_full,0.9669300018372221,5263,5443
time,oulab,8,10,base_lr_profile,0.2,static_full,static_full,0.9592102812441795,5150,5369
time,oulab,10,12,base_lr_profile,0.2,static_full,static_full,0.9852490421455938,5143,5220
time,oulab,12,14,base_lr_profile,0.2,static_full,static_full,0.9823438106325184,5063,5154
time,oulab,14,16,base_lr_profile,0.2,static_full,static_full,0.9836291913214991,4987,5070
time,oulab,2,4,base_rf_gini,0.01,static_full,static_full,0.35365853658536583,145,410
time,oulab,4,6,base_rf_gini,0.01,static_full,static_full,0.48360655737704916,177,366
time,oulab,6,8,base_rf_gini,0.01,static_full,static_full,0.37084398976982097,145,391
time,oulab,8,10,base_rf_gini,0.01,static_full,static_full,0.14316702819956617,66,461
time,oulab,10,12,base_rf_gini,0.01,static_full,static_full,0.3776595744680851,142,376
time,oulab,12,14,base_rf_gini,0.01,static_full,static_full,0.20705882352941177,88,425
time,oulab,14,16,base_rf_gini,0.01,static_full,static_full,0.23414634146341465,96,410
time,oulab,2,4,base_rf_gini,0.05,static_full,static_full,0.5450500556173526,980,1798
time,oulab,4,6,base_rf_gini,0.05,static_full,static_full,0.7080200501253133,1130,1596
time,oulab,6,8,base_rf_gini,0.05,static_full,static_full,0.6355311355311355,1041,1638
time,oulab,8,10,base_rf_gini,0.05,static_full,static_full,0.3721294363256785,713,1916
time,oulab,10,12,base_rf_gini,0.05,static_full,static_full,0.5834862385321101,954,1635
time,oulab,12,14,base_rf_gini,0.05,static_full,static_full,0.43595505617977526,776,1780
time,oulab,14,16,base_rf_gini,0.05,static_full,static_full,0.4177927927927928,742,1776
time,oulab,2,4,base_rf_gini,0.1,static_full,static_full,0.6035178777393311,2093,3468
time,oulab,4,6,base_rf_gini,0.1,static_full,static_full,0.7809337251061051,2392,3063
time,oulab,6,8,base_rf_gini,0.1,static_full,static_full,0.7405721716514955,2278,3076
time,oulab,8,10,base_rf_gini,0.1,static_full,static_full,0.5096126255380201,1776,3485
time,oulab,10,12,base_rf_gini,0.1,static_full,static_full,0.714427531436135,2159,3022
time,oulab,12,14,base_rf_gini,0.1,static_full,static_full,0.594754917265064,1905,3203
time,oulab,14,16,base_rf_gini,0.1,static_full,static_full,0.5608317815021726,1807,3222
time,oulab,2,4,base_rf_gini,0.2,static_full,static_full,0.6069364161849711,4200,6920
time,oulab,4,6,base_rf_gini,0.2,static_full,static_full,0.8224486387172206,4924,5987
time,oulab,6,8,base_rf_gini,0.2,static_full,static_full,0.8232288828337875,4834,5872
time,oulab,8,10,base_rf_gini,0.2,static_full,static_full,0.7275414682213828,4430,6089
time,oulab,10,12,base_rf_gini,0.2,static_full,static_full,0.8821285869960044,4857,5506
time,oulab,12,14,base_rf_gini,0.2,static_full,static_full,0.7805855698849773,4479,5738
time,oulab,14,16,base_rf_gini,0.2,static_full,static_full,0.7634578292126951,4354,5703
time,oulab,2,4,stack_7_full,0.01,static_full,static_full,0.3470873786407767,143,412
time,oulab,4,6,stack_7_full,0.01,static_full,static_full,0.3609022556390977,144,399
time,oulab,6,8,stack_7_full,0.01,static_full,static_full,0.18061674008810572,82,454
time,oulab,8,10,stack_7_full,0.01,static_full,static_full,0.15570175438596492,71,456
time,oulab,10,12,stack_7_full,0.01,static_full,static_full,0.23923444976076555,100,418
time,oulab,12,14,stack_7_full,0.01,static_full,static_full,0.12747252747252746,58,455
time,oulab,14,16,stack_7_full,0.01,static_full,static_full,0.09523809523809523,44,462
time,oulab,2,4,stack_7_full,0.05,static_full,static_full,0.528052805280528,960,1818
time,oulab,4,6,stack_7_full,0.05,static_full,static_full,0.5427277872099604,959,1767
time,oulab,6,8,stack_7_full,0.05,static_full,static_full,0.4272775705913692,802,1877
time,oulab,8,10,stack_7_full,0.05,static_full,static_full,0.3946949602122016,744,1885
time,oulab,10,12,stack_7_full,0.05,static_full,static_full,0.48451834862385323,845,1744
time,oulab,12,14,stack_7_full,0.05,static_full,static_full,0.3639274279615795,682,1874
time,oulab,14,16,stack_7_full,0.05,static_full,static_full,0.3911602209944751,708,1810
time,oulab,2,4,stack_7_full,0.1,static_full,static_full,0.6496588549391872,2190,3371
time,oulab,4,6,stack_7_full,0.1,static_full,static_full,0.6565441846340723,2162,3293
time,oulab,6,8,stack_7_full,0.1,static_full,static_full,0.6010765550239234,2010,3344
time,oulab,8,10,stack_7_full,0.1,static_full,static_full,0.5727952167414051,1916,3345
time,oulab,10,12,stack_7_full,0.1,static_full,static_full,0.6718296224588577,2082,3099
time,oulab,12,14,stack_7_full,0.1,static_full,static_full,0.5917731380492365,1899,3209
time,oulab,14,16,stack_7_full,0.1,static_full,static_full,0.6175619170151174,1920,3109
time,oulab,2,4,stack_7_full,0.2,static_full,static_full,0.6288267174454373,4293,6827
time,oulab,4,6,stack_7_full,0.2,static_full,static_full,0.8121574489287494,4890,6021
time,oulab,6,8,stack_7_full,0.2,static_full,static_full,0.8096686950642326,4790,5916
time,oulab,8,10,stack_7_full,0.2,static_full,static_full,0.7953575695511179,4660,5859
time,oulab,10,12,stack_7_full,0.2,static_full,static_full,0.8678803172314348,4815,5548
time,oulab,12,14,stack_7_full,0.2,static_full,static_full,0.8333034272384712,4644,5573
time,oulab,14,16,stack_7_full,0.2,static_full,static_full,0.8248956632190165,4546,5511
time,oulab,2,4,temporal_hgb,0.01,static_full,static_full,0.21444201312910285,98,457
time,oulab,4,6,temporal_hgb,0.01,static_full,static_full,0.1407563025210084,67,476
time,oulab,6,8,temporal_hgb,0.01,static_full,static_full,0.15517241379310345,72,464
time,oulab,8,10,temporal_hgb,0.01,static_full,static_full,0.09791666666666667,47,480
time,oulab,10,12,temporal_hgb,0.01,static_full,static_full,0.4885057471264368,170,348
time,oulab,12,14,temporal_hgb,0.01,static_full,static_full,0.34293193717277487,131,382
time,oulab,14,16,temporal_hgb,0.01,static_full,static_full,0.3863013698630137,141,365
time,oulab,2,4,temporal_hgb,0.05,static_full,static_full,0.3718518518518519,753,2025
time,oulab,4,6,temporal_hgb,0.05,static_full,static_full,0.44768985661178967,843,1883
time,oulab,6,8,temporal_hgb,0.05,static_full,static_full,0.40482433141059254,772,1907
time,oulab,8,10,temporal_hgb,0.05,static_full,static_full,0.3642968344577063,702,1927
time,oulab,10,12,temporal_hgb,0.05,static_full,static_full,0.7032894736842106,1069,1520
time,oulab,12,14,temporal_hgb,0.05,static_full,static_full,0.4991202346041056,851,1705
time,oulab,14,16,temporal_hgb,0.05,static_full,static_full,0.6350649350649351,978,1540
time,oulab,2,4,temporal_hgb,0.1,static_full,static_full,0.556395186118108,1988,3573
time,oulab,4,6,temporal_hgb,0.1,static_full,static_full,0.6956792042275411,2238,3217
time,oulab,6,8,temporal_hgb,0.1,static_full,static_full,0.7089052026811363,2221,3133
time,oulab,8,10,temporal_hgb,0.1,static_full,static_full,0.6601451562006942,2092,3169
