dataset,week,model,contrast,left_protocol,right_protocol,metric,delta,ci_low,ci_high,n_clusters,cluster_unit,identity_residual
oulab,2,base_lr_clickstream,joint_population_difference,activity_conditioned,cutoff_valid,brier,0.003243969074275571,0.0009298086776530296,0.005986608957112173,22,presentation,0.0
oulab,2,base_lr_clickstream,joint_population_difference,activity_conditioned,cutoff_valid,ece,0.013836122593676642,-0.003163251290769192,0.020157379750099347,22,presentation,0.0
oulab,2,base_lr_clickstream,evaluation_population_component,activity_conditioned,activity_to_cutoff_valid,auc,-0.004619835263977912,-0.014987118195527682,0.003956069321094157,22,presentation,0.0
oulab,2,base_lr_clickstream,evaluation_population_component,activity_conditioned,activity_to_cutoff_valid,pr_auc_risk,0.0001646396283310203,-0.026659782963993423,0.02280741337941569,22,presentation,0.0
oulab,2,base_lr_clickstream,evaluation_population_component,activity_conditioned,activity_to_cutoff_valid,brier,0.0009375073365003594,-0.0005048816556457982,0.002544875813758197,22,presentation,0.0
oulab,2,base_lr_clickstream,evaluation_population_component,activity_conditioned,activity_to_cutoff_valid,ece,-0.010210521495704547,-0.018540422164535705,0.00867525824690658,22,presentation,0.0
oulab,2,base_lr_clickstream,training_population_component,activity_to_cutoff_valid,cutoff_valid,auc,-0.0009057076203409231,-0.00225431219104569,0.0007388830201858955,22,presentation,0.0
oulab,2,base_lr_clickstream,training_population_component,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,-0.0035321779567126788,-0.0058664431895145,-0.00015524972999059094,22,presentation,0.0
oulab,2,base_lr_clickstream,training_population_component,activity_to_cutoff_valid,cutoff_valid,brier,0.0023064617377752117,0.00012995349190981497,0.004661096351324925,22,presentation,0.0
oulab,2,base_lr_clickstream,training_population_component,activity_to_cutoff_valid,cutoff_valid,ece,0.02404664408938119,-0.004611645930283659,0.029829992884652337,22,presentation,0.0
oulab,2,base_lr_clickstream,training_population_component_at_activity,activity_conditioned,cutoff_valid_to_activity,auc,-0.0002926772414285628,-0.002075805770610939,0.0016531943661084614,22,presentation,0.0
oulab,2,base_lr_clickstream,training_population_component_at_activity,activity_conditioned,cutoff_valid_to_activity,pr_auc_risk,-0.00041099161163182796,-0.004386529722380364,0.004516732606535138,22,presentation,0.0
oulab,2,base_lr_clickstream,training_population_component_at_activity,activity_conditioned,cutoff_valid_to_activity,brier,-0.0004686558648477057,-0.0032987041589365614,0.0026572981708185193,22,presentation,0.0
oulab,2,base_lr_clickstream,training_population_component_at_activity,activity_conditioned,cutoff_valid_to_activity,ece,0.0016498432843312996,-0.025846323563755623,0.029386051396123686,22,presentation,0.0
oulab,2,base_lr_clickstream,evaluation_population_component_at_valid,cutoff_valid_to_activity,cutoff_valid,auc,-0.005232865642890272,-0.015409078702551048,0.003437679167939394,22,presentation,0.0
oulab,2,base_lr_clickstream,evaluation_population_component_at_valid,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,-0.0029565467167498305,-0.029717290906658377,0.01938332603472935,22,presentation,0.0
oulab,2,base_lr_clickstream,evaluation_population_component_at_valid,cutoff_valid_to_activity,cutoff_valid,brier,0.003712624939123277,0.0013410222763287753,0.006023796936229999,22,presentation,0.0
oulab,2,base_lr_clickstream,evaluation_population_component_at_valid,cutoff_valid_to_activity,cutoff_valid,ece,0.012186279309345342,-0.026250549377158615,0.0301363617051575,22,presentation,0.0
oulab,2,base_lr_clickstream,evaluation_population_shapley,combination,combination,auc,-0.004926350453434092,-0.015177918112228326,0.003626357527322166,22,presentation,0.0
oulab,2,base_lr_clickstream,evaluation_population_shapley,combination,combination,pr_auc_risk,-0.001395953544209405,-0.02781460134306203,0.020987604168119837,22,presentation,0.0
oulab,2,base_lr_clickstream,evaluation_population_shapley,combination,combination,brier,0.002325066137811818,0.0004317449546441199,0.004293741907020496,22,presentation,0.0
oulab,2,base_lr_clickstream,evaluation_population_shapley,combination,combination,ece,0.0009878789068203976,-0.02114057290165051,0.018810913993903264,22,presentation,0.0
oulab,2,base_lr_clickstream,training_population_shapley,combination,combination,auc,-0.0005991924308847429,-0.002122146651615542,0.001181443437971382,22,presentation,0.0
oulab,2,base_lr_clickstream,training_population_shapley,combination,combination,pr_auc_risk,-0.0019715847841722534,-0.00450564429719372,0.0015453333600329786,22,presentation,0.0
oulab,2,base_lr_clickstream,training_population_shapley,combination,combination,brier,0.000918902936463753,-0.0015753664782800815,0.003638818534602499,22,presentation,0.0
oulab,2,base_lr_clickstream,training_population_shapley,combination,combination,ece,0.012848243686856244,-0.014756452994710328,0.024943014885852634,22,presentation,0.0
