dataset,week,protocol,reference_protocol,metric,spearman_rank_correlation,best_reference,best_protocol,ranking_reversal
oulab,12,static_full,cutoff_valid,brier,0.9818181818181818,stack_7_full,stack_7_full,False
oulab,12,static_full,cutoff_valid,ece,0.6727272727272727,base_lr_profile,base_lr_profile,False
oulab,14,activity_conditioned,cutoff_valid,auc,0.9727272727272729,stack_7_full,stack_7_full,False
oulab,14,activity_conditioned,cutoff_valid,pr_auc_risk,0.9454545454545454,stack_7_full,stack_7_full,False
oulab,14,activity_conditioned,cutoff_valid,brier,0.9727272727272729,stack_7_full,stack_7_full,False
oulab,14,activity_conditioned,cutoff_valid,ece,0.9,base_lr_profile,base_lr_profile,False
oulab,14,activity_to_cutoff_valid,cutoff_valid,auc,0.9818181818181818,stack_7_full,stack_7_full,False
oulab,14,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,0.9454545454545454,stack_7_full,stack_7_full,False
oulab,14,activity_to_cutoff_valid,cutoff_valid,brier,0.9727272727272729,stack_7_full,stack_7_full,False
oulab,14,activity_to_cutoff_valid,cutoff_valid,ece,0.6454545454545455,base_lr_profile,stack_7_full,True
oulab,14,cutoff_valid_to_activity,cutoff_valid,auc,0.9818181818181818,stack_7_full,stack_7_full,False
oulab,14,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,0.990909090909091,stack_7_full,stack_7_full,False
oulab,14,cutoff_valid_to_activity,cutoff_valid,brier,0.9818181818181818,stack_7_full,stack_7_full,False
oulab,14,cutoff_valid_to_activity,cutoff_valid,ece,0.3727272727272728,base_lr_profile,stack_7_full,True
oulab,14,static_full,cutoff_valid,auc,0.9727272727272729,stack_7_full,stack_7_full,False
oulab,14,static_full,cutoff_valid,pr_auc_risk,1.0,stack_7_full,stack_7_full,False
oulab,14,static_full,cutoff_valid,brier,0.9818181818181818,stack_7_full,stack_7_full,False
oulab,14,static_full,cutoff_valid,ece,0.8363636363636365,base_lr_profile,base_lr_profile,False
oulab,16,activity_conditioned,cutoff_valid,auc,0.9818181818181818,stack_7_full,stack_7_full,False
oulab,16,activity_conditioned,cutoff_valid,pr_auc_risk,0.990909090909091,stack_7_full,stack_7_full,False
oulab,16,activity_conditioned,cutoff_valid,brier,0.9363636363636365,stack_7_full,stack_7_full,False
oulab,16,activity_conditioned,cutoff_valid,ece,0.7454545454545456,base_lr_profile,base_lr_profile,False
oulab,16,activity_to_cutoff_valid,cutoff_valid,auc,0.990909090909091,stack_7_full,stack_7_full,False
oulab,16,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,1.0,stack_7_full,stack_7_full,False
oulab,16,activity_to_cutoff_valid,cutoff_valid,brier,0.9818181818181818,stack_7_full,stack_7_full,False
oulab,16,activity_to_cutoff_valid,cutoff_valid,ece,0.3181818181818182,base_lr_profile,stack_7_full,True
oulab,16,cutoff_valid_to_activity,cutoff_valid,auc,0.990909090909091,stack_7_full,stack_7_full,False
oulab,16,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,0.990909090909091,stack_7_full,stack_7_full,False
oulab,16,cutoff_valid_to_activity,cutoff_valid,brier,0.9363636363636365,stack_7_full,stack_7_full,False
oulab,16,cutoff_valid_to_activity,cutoff_valid,ece,0.3272727272727273,base_lr_profile,stack_7_full,True
oulab,16,static_full,cutoff_valid,auc,0.9818181818181818,stack_7_full,stack_7_full,False
oulab,16,static_full,cutoff_valid,pr_auc_risk,0.990909090909091,stack_7_full,stack_7_full,False
oulab,16,static_full,cutoff_valid,brier,0.9090909090909091,stack_7_full,stack_7_full,False
oulab,16,static_full,cutoff_valid,ece,0.7454545454545456,base_lr_profile,base_lr_profile,False
