dataset,week,protocol,model,n,n_clusters,cluster_unit,auc_mean,auc_ci_low,auc_ci_high,pr_auc_risk_mean,pr_auc_risk_ci_low,pr_auc_risk_ci_high,brier_mean,brier_ci_low,brier_ci_high,ece_mean,ece_ci_low,ece_ci_high
oulab,4,discrete_hazard,base_dffnn,27535,22,presentation,0.6772939669113798,0.6189463401971663,0.7446117061391734,0.029095214488550562,0.018182734317069557,0.04439070044105849,0.010813802113547717,0.006821767556093616,0.01589123974854814,0.000690098386810778,8.057029812974861e-05,0.006151745464347439
oulab,4,discrete_hazard,base_knn,27535,22,presentation,0.6808776463721579,0.6230158029174311,0.7344262958108492,0.02532493301161037,0.015326820504044174,0.03488059092481658,0.010898295841656075,0.006950401713225654,0.015992256307079296,0.0003190121663338325,0.00017405377147755862,0.004612720568776171
oulab,4,discrete_hazard,base_lr_clickstream,27535,22,presentation,0.6965573650490783,0.6267425175584949,0.7747446427817672,0.019775661157538597,0.011890171166650414,0.037678324836537616,0.01085318285208349,0.006830373776316091,0.01597102386939214,0.002383699420563687,0.00012743135060715624,0.007538527541067438
oulab,4,discrete_hazard,base_lr_profile,27535,22,presentation,0.5766608057691786,0.538927368978122,0.6517833663048608,0.01774093428690115,0.014556786563927893,0.023364948575935657,0.010870405282827964,0.006826190920482571,0.016017754802693056,0.0019474838826332881,8.464130819980528e-05,0.007578573606104465
oulab,4,discrete_hazard,base_lr_weekly,27535,22,presentation,0.5676825192066797,0.4978837227560665,0.6584500331609219,0.012221569294098721,0.008042649399135352,0.020029321331475784,0.01092906341705864,0.0068998088392287615,0.016034227440868805,0.0005374529492706559,8.517043942905009e-05,0.006366258804616515
oulab,4,discrete_hazard,base_rf_entropy,27535,22,presentation,0.7348244445478624,0.658252390688601,0.8260009506507954,0.029645357067350032,0.018100131401511826,0.05338810778254115,0.019370070564006334,0.013984921007032365,0.025049382103414588,0.06666045350107869,0.049205550651234595,0.08885971424771778
oulab,4,discrete_hazard,base_rf_gini,27535,22,presentation,0.733211728193971,0.6570881009016029,0.8241570134419358,0.02925671826556702,0.018133971970063126,0.05192067573109113,0.019569004280402605,0.014209779347964574,0.025279202808261226,0.06728944139162951,0.05007109293423947,0.08921973647084216
oulab,4,discrete_hazard,base_svm,27535,22,presentation,0.6898798685685255,0.6142434249866542,0.786495595031347,0.01965518525982888,0.012353830822825752,0.038217353739475136,0.010869578352297413,0.006825749645201043,0.01600817090193156,0.003452732234702619,0.00017455318596916553,0.008667959643381063
oulab,4,discrete_hazard,flat_hgb,27535,22,presentation,0.7669850893726271,0.7188622699536651,0.8146634262025448,0.03865276306624209,0.022491958283566295,0.062258480298669115,0.010742865579959694,0.006784333179230672,0.015787103680978087,0.0002981459226118485,8.650725493070841e-05,0.004672940765862983
oulab,4,discrete_hazard,stack_7_full,27535,22,presentation,0.7997463671161475,0.7488526366867388,0.8574620519660874,0.0502073575668341,0.03649540842505546,0.07045024144549687,0.010666278200707412,0.006685673094573958,0.015769920821030865,0.002733077206106705,0.00021728844335665464,0.007354719719446524
