dataset,week,model,protocol,train_protocol,eval_protocol,membership_class,n,n_clusters,risk_rate,mean_predicted_risk,auc,pr_auc_risk,brier,ece
oulab,6,base_lr_clickstream,cutoff_valid,cutoff_valid,cutoff_valid,eligible_active,26415,22,0.4205186447094454,0.4152818967394949,0.701061913393763,0.579453808318313,0.2196312312349596,0.040476416153256756
oulab,6,base_lr_clickstream,cutoff_valid,cutoff_valid,cutoff_valid,eligible_silent,607,20,0.8797364085667215,0.8873901303287487,0.31618439279667543,0.8300420957735607,0.10967716876425625,0.07196129480745089
oulab,6,base_lr_profile,activity_to_cutoff_valid,activity_conditioned,cutoff_valid,eligible_active,26415,22,0.4205186447094454,0.4703249463712288,0.6263672368800274,0.545789607761085,0.23447207650973495,0.050376306345487204
oulab,6,base_lr_profile,activity_to_cutoff_valid,activity_conditioned,cutoff_valid,eligible_silent,607,20,0.8797364085667215,0.47830470146743065,0.7605048483915653,0.9526337620497675,0.2600841316166926,0.40196824485155597
oulab,6,base_lr_profile,cutoff_valid,cutoff_valid,cutoff_valid,eligible_active,26415,22,0.4205186447094454,0.4213909672480942,0.6275222672853398,0.548564938494511,0.23147771855264115,0.0065177084387614955
oulab,6,base_lr_profile,cutoff_valid,cutoff_valid,cutoff_valid,eligible_silent,607,20,0.8797364085667215,0.8875788250729739,0.6638191986044841,0.9314187145915052,0.10254285811486735,0.017690704912175365
oulab,6,base_lr_weekly,activity_to_cutoff_valid,activity_conditioned,cutoff_valid,eligible_active,26415,22,0.4205186447094454,0.4716391267453387,0.6809502397915814,0.5765085717950724,0.23692291023063813,0.09822433235938541
oulab,6,base_lr_weekly,activity_to_cutoff_valid,activity_conditioned,cutoff_valid,eligible_silent,607,20,0.8797364085667215,0.8215786844499252,0.3146452208711713,0.8302008089987667,0.1145120387090119,0.05815772411679639
oulab,6,base_lr_weekly,cutoff_valid,cutoff_valid,cutoff_valid,eligible_active,26415,22,0.4205186447094454,0.4447349064458159,0.6819309952288699,0.573130081050728,0.2328677795968271,0.06655595654377364
oulab,6,base_lr_weekly,cutoff_valid,cutoff_valid,cutoff_valid,eligible_silent,607,20,0.8797364085667215,0.8875525516704796,0.31618439279667543,0.8300420957735607,0.1097396164324656,0.0720161121435184
oulab,6,base_rf_entropy,activity_to_cutoff_valid,activity_conditioned,cutoff_valid,eligible_active,26415,22,0.4205186447094454,0.4741442704020491,0.7566219782801351,0.7066031541126592,0.1980137891507589,0.053625625692603776
oulab,6,base_rf_entropy,activity_to_cutoff_valid,activity_conditioned,cutoff_valid,eligible_silent,607,20,0.8797364085667215,0.8687543993707132,0.8247396234159355,0.9702267378866398,0.08916658009819546,0.027525192430032555
oulab,6,base_rf_entropy,cutoff_valid,cutoff_valid,cutoff_valid,eligible_active,26415,22,0.4205186447094454,0.47869988594078605,0.758041032438975,0.7081080305647726,0.19813854064939093,0.05818124123134072
oulab,6,base_rf_entropy,cutoff_valid,cutoff_valid,cutoff_valid,eligible_silent,607,20,0.8797364085667215,0.8983122889548508,0.8249448463393362,0.971661926207908,0.09082814641859259,0.03500878205987609
oulab,6,base_rf_gini,activity_to_cutoff_valid,activity_conditioned,cutoff_valid,eligible_active,26415,22,0.4205186447094454,0.47467935443614956,0.7569624237714632,0.7067315549610508,0.19794884754685615,0.05416070972670418
oulab,6,base_rf_gini,activity_to_cutoff_valid,activity_conditioned,cutoff_valid,eligible_silent,607,20,0.8797364085667215,0.8667951551646269,0.8193268688112462,0.9687802440572942,0.08969087901396548,0.02956888183357114
oulab,6,base_rf_gini,cutoff_valid,cutoff_valid,cutoff_valid,eligible_active,26415,22,0.4205186447094454,0.4803530194306168,0.7578218242651027,0.7076804850628006,0.19844771815170123,0.059843046394864895
oulab,6,base_rf_gini,cutoff_valid,cutoff_valid,cutoff_valid,eligible_silent,607,20,0.8797364085667215,0.8978965773144783,0.8190190344261454,0.9687625831978223,0.09121440791777573,0.030835094625767827
oulab,6,base_svm,activity_to_cutoff_valid,activity_conditioned,cutoff_valid,eligible_active,26415,22,0.4205186447094454,0.4578707641193448,0.69576596459748,0.5705049202084991,0.21984841602836516,0.05041619352178012
oulab,6,base_svm,activity_to_cutoff_valid,activity_conditioned,cutoff_valid,eligible_silent,607,20,0.8797364085667215,0.6586081650074199,0.3931173362064543,0.8514886901339922,0.15944625469077192,0.2211282435593017
oulab,6,base_svm,cutoff_valid,cutoff_valid,cutoff_valid,eligible_active,26415,22,0.4205186447094454,0.4259531777002853,0.6954165912780789,0.5647716649159327,0.22014917871885586,0.056114224502805586
oulab,6,base_svm,cutoff_valid,cutoff_valid,cutoff_valid,eligible_silent,607,20,0.8797364085667215,0.7153751014019799,0.39794007490636707,0.8445391624929413,0.1422120197340506,0.16436130716474173
oulab,6,flat_hgb,activity_to_cutoff_valid,activity_conditioned,cutoff_valid,eligible_active,26415,22,0.4205186447094454,0.4715211611791253,0.7423879297034816,0.6823776536245754,0.20444569712261082,0.05100251646967988
oulab,6,flat_hgb,activity_to_cutoff_valid,activity_conditioned,cutoff_valid,eligible_silent,607,20,0.8797364085667215,0.9207070697633474,0.3168257144323021,0.8301154096056835,0.11070723348412444,0.09278409598369973
oulab,6,flat_hgb,cutoff_valid,cutoff_valid,cutoff_valid,eligible_active,26415,22,0.4205186447094454,0.4542632028018479,0.7431228022869072,0.6794031977375934,0.2022705587581542,0.034368900641548426
